rank_by_code_macro_at_100,run_label,run_id,started_at,ott_baseline,code_macro_recall_at_100,naive_vague,naive_branded,naive_specific,emu_generic,emu_ordinary,emu_specific,original,loo,use_vector,use_composite,use_facts,use_kg_context,triage,use_curated,config_json
38,exp2_rrf_k30,152,2026-06-03T20:06:28.514910,False,0.6588806787082649,0.6805555555555556,0.6183908045977011,0.6764367816091954,0.625,0.625,0.6508620689655172,0.735919540229885,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""rrf_k"": 30, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
39,exp2_baseline_all_on,160,2026-06-03T21:28:38.651328,False,0.6577723043240284,0.6805555555555556,0.610632183908046,0.6591954022988505,0.6336206896551724,0.6379310344827587,0.6422413793103449,0.7402298850574712,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
40,exp2_rrf_k10,145,2026-06-03T19:23:36.412936,False,0.6567733990147783,0.6709770114942529,0.6089080459770115,0.667816091954023,0.6163793103448276,0.6293103448275862,0.6508620689655172,0.7531609195402299,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""rrf_k"": 10, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
41,exp3_facts_vec_cap_09,161,2026-06-03T21:47:00.526325,False,0.6388204707170224,0.6496168582375479,0.607183908045977,0.6204022988505747,0.6163793103448276,0.6293103448275862,0.625,0.7238505747126437,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
42,grid_C0F0K1T0,124,2026-06-03T17:56:08.075672,False,0.6384128938931894,0.6886973180076629,0.5581896551724138,0.6530788177339901,0.5818965517241379,0.5689655172413793,0.6810344827586207,0.7370279146141215,True,True,False,False,True,False,False,"{""active_gold_count"": 1059, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_composite"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
43,v2_plus_descvec_adapter,130,2026-06-03T18:11:55.423793,False,0.6369272421612323,0.6486590038314176,0.6278735632183908,0.6406198686371101,0.6293103448275862,0.6422413793103449,0.5775862068965517,0.692200328407225,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vec_adapter"": true, ""use_vector"": true}"
44,ai_kg,122,2026-06-03T17:50:35.550821,False,0.6353340761591993,0.6800766283524904,0.5581896551724138,0.6530788177339901,0.5818965517241379,0.5689655172413793,0.6810344827586207,0.7240968801313629,True,True,,False,True,False,False,"{""active_gold_count"": 1059, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
45,exp2_off_facts_vec,126,2026-06-03T18:01:38.453717,False,0.6347183126124013,0.6800766283524904,0.5668103448275862,0.6616995073891626,0.5732758620689655,0.5560344827586207,0.6637931034482759,0.7413382594417077,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": false, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
46,exp3_kg_vec_cap_03,163,2026-06-03T22:20:52.865996,False,0.6144088669950739,0.639367816091954,0.5640804597701149,0.5925287356321839,0.603448275862069,0.603448275862069,0.6077586206896551,0.6902298850574713,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""kg_vec_cap"": 0.3, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": true}"
47,grid_C0F0K0T1,120,2026-06-03T17:45:19.898147,False,0.6129740401907889,0.5763888888888888,0.5919540229885057,0.611884236453202,0.5689655172413793,0.6336206896551724,0.646551724137931,0.6614532019704433,True,True,False,False,False,True,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": true, ""use_composite"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
